Time_ms,Delta_Displacement_nm
548.000,0.000
549.000,0.000
550.000,0.000
551.000,-316.496
552.000,-316.496
553.000,-316.496
554.000,-316.496
555.000,-316.496
556.000,-632.991
557.000,-632.991
558.000,-949.487
559.000,-949.487
560.000,-949.487
561.000,-949.487
562.000,-949.487
563.000,-1265.983
564.000,-1265.983
565.000,-1265.983
566.000,-1265.983
567.000,-1265.983
568.000,-1265.983
569.000,-1265.983
570.000,-1265.983
571.000,-1265.983
572.000,-1265.983
573.000,-1265.983
574.000,-1265.983
575.000,-949.487
576.000,-949.487
577.000,-632.991
578.000,-632.991
579.000,-316.496
580.000,-316.496
581.000,0.000
582.000,0.000
583.000,0.000
584.000,316.496
585.000,316.496
586.000,316.496
587.000,632.991
588.000,632.991
589.000,949.487
590.000,949.487
591.000,949.487
592.000,949.487
593.000,949.487
594.000,949.487
595.000,949.487
596.000,949.487
597.000,949.487
598.000,632.991
599.000,632.991
600.000,632.991
601.000,316.496
602.000,316.496
603.000,316.496
604.000,316.496
605.000,0.000
606.000,0.000
607.000,-316.496
608.000,-316.496
609.000,-632.991
610.000,-632.991
611.000,-632.991
612.000,-632.991
613.000,-632.991
614.000,-949.487
615.000,-949.487
616.000,-949.487
617.000,-949.487
618.000,-949.487
619.000,-1265.983
620.000,-1265.983
621.000,-949.487
622.000,-949.487
623.000,-949.487
624.000,-949.487
625.000,-632.991
626.000,-632.991
627.000,-632.991
628.000,-316.496
629.000,-316.496
630.000,-316.496
631.000,0.000
632.000,0.000
633.000,0.000
634.000,316.496
635.000,316.496
636.000,316.496
637.000,316.496
638.000,632.991
639.000,632.991
640.000,632.991
641.000,632.991
642.000,632.991
643.000,632.991
644.000,632.991
645.000,632.991
646.000,632.991
647.000,632.991
648.000,632.991
649.000,632.991
650.000,316.496
651.000,316.496
652.000,316.496
653.000,0.000
654.000,0.000
655.000,0.000
656.000,0.000
657.000,-316.496
658.000,-316.496
659.000,-316.496
660.000,-632.991
661.000,-632.991
662.000,-632.991
663.000,-632.991
